,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
17,2,Aleksa Avramovic,EST,35.0,29.7,7.6,17.5,0.437,1.9,5.8,0.322,4.8,5.8,0.834,2.5,2.8,0.7,3.2,3.9,4.7,1.6,0.4,22.0,G,6-3,190,26,2.0,2.0,10.0,3.0,12.0,4.0,17.0,4.0,46.0,11.0,93.0,48.0,115.0,55.0,41.0,13.0,12.0,4.0,10.0,4.0,7.0,4.0,9.0,3.0
18,12,Aleksandar Cvetkovic,EST,27.0,15.2,3.7,7.5,0.494,2.1,5.2,0.415,1.7,1.9,0.895,3.3,5.0,0.7,2.2,2.9,4.5,1.5,0.0,11.2,PG,6-2,165,27,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,11.0,3.0,3.0,2.0,7.0,5.0,18.0,7.0,1.0,0.0,5.0,3.0,2.0,0.0,3.0,1.0
19,4,Alessandro Gentile,EST,17.0,24.6,8.0,18.6,0.431,0.6,2.8,0.207,2.4,3.3,0.714,4.8,3.2,1.5,6.3,7.8,5.1,1.5,0.5,19.0,SF,6-6,228,28,0.0,0.0,16.0,12.0,2.0,0.0,20.0,5.0,16.0,3.0,49.0,22.0,52.0,26.0,9.0,2.0,11.0,6.0,4.0,2.0,15.0,5.0,0.0,0.0
20,7,Alex Abrines,FCB,29.0,20.7,5.6,10.8,0.519,3.5,7.6,0.465,2.1,2.3,0.914,1.2,4.2,1.7,3.8,5.5,1.8,1.5,0.4,16.8,GF,6-6,190,27,1.0,0.0,6.0,3.0,5.0,3.0,6.0,3.0,39.0,15.0,17.0,11.0,10.0,4.0,27.0,12.0,3.0,1.0,13.0,6.0,6.0,4.0,4.0,3.0
22,14,Alex Barrera,SPB,17.0,7.7,1.8,6.5,0.286,1.5,6.1,0.25,0.6,0.6,1.0,0.6,2.5,0.0,2.2,2.2,1.2,2.5,0.0,5.8,SG,6-7,180,28,1.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
23,14,Alex Lopez,CAN,19.0,6.7,1.6,8.8,0.179,0.6,5.6,0.111,2.2,2.5,0.875,2.8,6.6,0.6,1.9,2.5,3.8,1.3,0.0,6.0,SG,6-2,196,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,5.0,1.0,4.0,2.0,6.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
24,5,Alex Renfroe,SPB,30.0,22.7,6.6,12.5,0.528,2.0,4.5,0.442,3.2,4.3,0.74,4.3,3.9,1.2,4.3,5.5,9.0,1.6,0.4,18.4,G,6-2,160,34,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,31.0,13.0,57.0,38.0,56.0,29.0,33.0,16.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0
25,13,Alex Reyes,BBB,32.0,12.0,4.7,11.0,0.425,2.3,6.5,0.349,1.1,1.3,0.846,1.9,3.6,1.3,3.9,5.3,1.5,1.6,0.1,12.8,SF,6-7,187,27,1.0,0.0,5.0,1.0,5.0,2.0,3.0,1.0,22.0,8.0,14.0,8.0,13.0,9.0,14.0,7.0,7.0,4.0,3.0,0.0,5.0,1.0,4.0,0.0
26,10,Alex Suarez,OBR,30.0,16.3,3.8,7.5,0.5,1.7,4.3,0.396,0.8,0.8,1.0,1.0,2.9,1.1,2.6,3.8,1.3,1.3,0.3,10.0,PF,6-10,214,27,3.0,2.0,3.0,0.0,6.0,0.0,4.0,3.0,14.0,5.0,9.0,7.0,13.0,6.0,13.0,7.0,5.0,4.0,6.0,2.0,4.0,3.0,2.0,1.0
27,11,Alex Tyus,RMB,16.0,14.0,6.4,11.2,0.571,0.0,0.0,0.0,2.7,3.0,0.882,1.6,4.5,3.8,3.8,7.5,0.7,0.4,0.7,15.5,F,6-8,220,33,0.0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,10.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
28,6,Alex Urtasun,MON,18.0,8.7,5.1,11.5,0.444,2.3,5.9,0.391,4.3,4.6,0.944,1.8,2.6,0.8,1.8,2.6,4.3,1.0,0.0,16.9,G,6-4,187,36,0.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,8.0,2.0,11.0,3.0,6.0,3.0,10.0,5.0,1.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
30,11,Alvaro Munoz,OBR,32.0,12.4,2.9,8.3,0.354,2.1,6.1,0.35,1.6,1.8,0.889,2.0,3.2,1.5,3.7,5.2,3.0,1.0,0.1,9.6,SF,6-5,200,30,0.0,0.0,5.0,3.0,7.0,2.0,5.0,3.0,18.0,4.0,10.0,4.0,8.0,1.0,12.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,2.0
32,14,Andrew Albicy,GCN,32.0,23.9,4.1,10.5,0.393,2.1,6.0,0.36,3.3,4.2,0.778,4.2,3.5,0.5,1.9,2.5,6.5,2.1,0.0,13.7,PG,5-10,165,30,3.0,2.0,4.0,0.0,10.0,6.0,10.0,4.0,36.0,14.0,26.0,14.0,27.0,13.0,43.0,14.0,9.0,0.0,15.0,5.0,1.0,0.0,0.0,0.0
33,6,Angel Delgado,EST,33.0,20.9,6.8,10.5,0.65,0.0,0.1,0.0,2.3,5.9,0.396,2.7,5.2,5.9,8.9,14.8,1.4,1.8,0.8,15.9,C,6-10,230,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,50.0,69.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,2,Ante Tomic,JOV,34.0,23.0,9.1,16.7,0.545,0.1,0.3,0.2,4.6,6.1,0.75,3.7,2.8,4.2,6.6,10.7,3.7,1.1,0.2,22.8,C,7-1,225,34,0.0,0.0,7.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,113.0,66.0,126.0,65.0,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0
38,9,Arnau Parrado,JOV,9.0,3.3,6.7,14.6,0.455,1.3,4.0,0.333,2.7,6.7,0.4,1.3,10.6,1.3,9.3,10.6,1.3,1.3,0.0,17.3,C,6-9,220,20,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,8,Arnoldas Kulboka,BBB,30.0,22.5,5.5,12.7,0.435,3.4,8.0,0.43,1.6,2.0,0.794,1.8,2.0,1.8,4.9,6.7,0.9,0.9,0.3,16.0,SF,6-10,215,23,0.0,0.0,16.0,8.0,10.0,5.0,12.0,4.0,35.0,13.0,25.0,10.0,30.0,15.0,44.0,20.0,3.0,1.0,14.0,6.0,7.0,2.0,8.0,4.0
40,4,Artem Pustovyi,FCB,21.0,14.5,8.4,13.3,0.634,0.0,0.0,0.0,4.7,6.7,0.706,3.7,5.5,3.9,5.0,8.9,1.1,1.1,2.1,21.6,C,7-2,212,28,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,38.0,29.0,35.0,17.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
41,8,Artsiom Parakhouski,AND,19.0,14.9,5.9,10.7,0.553,0.0,0.0,0.0,3.4,4.5,0.75,2.7,4.1,4.0,6.5,10.5,1.4,0.8,1.6,15.3,C,6-11,268,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,13.0,27.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
42,12,Arturs Kurucs,CAJ,28.0,9.1,3.3,10.4,0.318,1.6,6.5,0.244,0.8,1.3,0.625,3.6,5.5,1.1,0.8,1.9,2.7,1.1,0.2,9.0,SG,6-3,190,21,2.0,0.0,10.0,3.0,3.0,0.0,2.0,1.0,12.0,1.0,11.0,6.0,4.0,2.0,2.0,1.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0
43,10,Arturs Zagars,JOV,12.0,4.8,4.9,14.0,0.35,2.1,7.0,0.3,3.5,4.2,0.833,3.5,10.5,1.4,2.1,3.5,6.3,1.4,0.0,15.4,PG,6-3,172,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,2.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,13,Augusto Lima,MUR,33.0,21.3,5.8,10.5,0.549,0.0,0.1,0.0,1.0,3.5,0.295,3.2,5.2,5.7,7.8,13.5,3.6,1.9,1.8,12.5,PF,6-10,235,29,0.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,51.0,26.0,70.0,40.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
45,2,Axel Bouteille,UNI,30.0,20.4,8.0,18.2,0.437,3.0,8.2,0.368,1.8,2.1,0.844,0.8,1.2,0.6,3.4,4.0,2.0,0.9,0.3,20.7,SF,6-6,180,25,2.0,0.0,23.0,8.0,12.0,5.0,19.0,8.0,48.0,18.0,33.0,19.0,34.0,19.0,28.0,15.0,16.0,5.0,12.0,3.0,29.0,11.0,1.0,1.0
