,#,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made
79,13,Daniel Garcia,MAN,13.0,13.9,4.2,10.6,0.396,2.0,7.1,0.281,0.7,1.1,0.6,5.1,8.2,0.4,3.3,3.8,7.8,1.1,0.0,11.1,PG,6-1,176,23,0.0,0.0,1.0,1.0,4.0,0.0,1.0,1.0,11.0,2.0,7.0,4.0,4.0,2.0,9.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0
81,1,Dario Brizuela,UNI,32.0,23.9,9.1,19.7,0.464,2.9,8.2,0.357,2.2,2.9,0.768,2.8,3.1,0.4,2.4,2.7,5.2,1.6,0.1,23.5,SG,6-4,161,26,5.0,2.0,13.0,5.0,6.0,3.0,27.0,15.0,54.0,17.0,64.0,44.0,74.0,38.0,37.0,12.0,24.0,11.0,17.0,7.0,4.0,1.0,5.0,1.0
82,6,David DiLeo,MUR,18.0,19.4,5.6,13.7,0.408,4.2,11.2,0.378,2.2,2.4,0.905,1.3,4.2,0.3,3.2,3.6,0.8,1.6,0.3,17.6,SF,6-8,224,24,0.0,0.0,6.0,4.0,8.0,3.0,4.0,2.0,24.0,10.0,7.0,3.0,4.0,1.0,38.0,14.0,3.0,2.0,12.0,4.0,4.0,2.0,4.0,1.0
83,4,David Jelinek,AND,33.0,22.7,5.9,15.5,0.384,3.4,9.4,0.36,1.8,2.4,0.773,2.2,3.2,0.5,3.3,3.7,1.9,1.0,0.1,17.1,SG,6-5,190,30,2.0,1.0,14.0,4.0,12.0,4.0,18.0,7.0,51.0,17.0,35.0,21.0,31.0,8.0,55.0,20.0,9.0,4.0,20.0,8.0,2.0,0.0,5.0,3.0
84,16,Deividas Dulkys,MAN,11.0,14.9,1.9,10.2,0.19,1.5,8.0,0.182,1.0,1.0,1.0,0.7,4.4,1.7,4.6,6.3,1.2,2.2,0.0,6.3,GF,6-5,196,32,2.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,8.0,1.0,3.0,1.0,4.0,1.0,4.0,0.0,0.0,0.0,8.0,2.0,4.0,2.0,1.0,0.0
85,4,Dejan Kravic,SPB,33.0,20.7,9.1,15.2,0.6,0.0,0.1,0.0,2.6,4.9,0.53,3.2,4.2,3.7,5.2,9.0,1.4,1.9,1.4,20.8,C,7-0,240,30,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,116.0,67.0,94.0,53.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,5,Deon Thompson,UNI,34.0,19.5,7.0,14.6,0.477,1.4,4.2,0.343,1.4,2.0,0.697,2.3,3.9,2.0,4.6,6.6,1.7,1.4,0.9,16.8,PF,6-8,250,32,0.0,0.0,32.0,17.0,4.0,0.0,6.0,3.0,24.0,9.0,46.0,21.0,41.0,22.0,13.0,5.0,6.0,2.0,10.0,3.0,17.0,6.0,3.0,1.0
88,7,Derrick Williams,VAL,31.0,17.0,6.0,12.1,0.494,1.7,4.3,0.404,2.7,4.3,0.632,2.8,4.1,0.7,4.4,5.1,1.5,1.2,0.2,16.5,F,6-8,240,29,2.0,1.0,12.0,2.0,4.0,1.0,1.0,0.0,17.0,7.0,32.0,16.0,33.0,18.0,6.0,3.0,3.0,1.0,9.0,6.0,7.0,1.0,8.0,1.0
90,4,Dino Radoncic,GBC,34.0,28.0,5.7,12.8,0.451,1.0,4.1,0.255,3.1,4.1,0.755,2.6,2.4,2.6,5.3,7.8,2.1,1.6,0.4,15.6,GF,6-8,225,22,0.0,0.0,10.0,4.0,13.0,2.0,12.0,8.0,26.0,7.0,76.0,43.0,75.0,40.0,20.0,6.0,6.0,2.0,16.0,6.0,7.0,2.0,2.0,0.0
91,9,Dovydas Giedraitis,EST,16.0,18.8,5.0,11.9,0.422,2.7,7.2,0.37,0.9,1.2,0.778,1.7,4.9,0.9,1.5,2.4,1.5,1.1,0.0,13.7,PG,6-4,165,20,3.0,1.0,3.0,2.0,6.0,1.0,5.0,2.0,18.0,4.0,12.0,4.0,12.0,9.0,6.0,4.0,2.0,2.0,8.0,2.0,1.0,0.0,4.0,0.0
92,3,Dylan Ennis,ZAR,34.0,29.4,7.8,16.0,0.491,2.2,6.6,0.335,4.1,5.4,0.763,3.4,2.4,0.5,3.9,4.4,4.4,2.0,0.2,22.0,G,6-2,195,29,3.0,1.0,10.0,3.0,11.0,3.0,8.0,3.0,48.0,22.0,89.0,55.0,92.0,56.0,63.0,14.0,9.0,4.0,17.0,7.0,11.0,8.0,2.0,1.0
93,4,Dzherom Rendl,BETIS,20.0,16.6,8.2,18.7,0.439,2.2,6.5,0.333,3.3,3.9,0.844,5.5,4.3,0.1,2.4,2.5,5.4,1.2,0.0,21.8,G,5-10,172,33,0.0,0.0,4.0,0.0,2.0,1.0,15.0,7.0,15.0,5.0,21.0,8.0,35.0,21.0,22.0,8.0,17.0,7.0,6.0,3.0,3.0,2.0,0.0,0.0
95,13,Edgar Vicedo,EST,29.0,17.1,4.0,9.8,0.405,1.5,4.5,0.339,1.4,1.5,0.944,0.6,3.8,1.6,4.9,6.5,1.2,2.0,0.7,10.8,SF,6-8,200,26,5.0,2.0,7.0,5.0,5.0,1.0,0.0,0.0,12.0,2.0,19.0,9.0,36.0,15.0,9.0,5.0,0.0,0.0,7.0,1.0,4.0,0.0,9.0,4.0
96,11,Edwin Jackson,EST,11.0,21.3,4.4,14.4,0.31,1.2,4.4,0.269,2.1,3.1,0.667,2.4,4.6,1.5,3.4,5.0,4.3,0.7,0.0,12.1,SG,6-2,201,31,1.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,8.0,3.0,12.0,4.0,17.0,9.0,4.0,1.0,4.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
97,9,Edy Tavares,RMB,30.0,24.0,7.1,10.2,0.696,0.1,0.1,0.5,4.1,5.6,0.723,2.7,4.4,5.3,8.3,13.5,1.7,1.5,3.8,18.3,C,7-3,265,28,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,67.0,43.0,57.0,35.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0
98,1,Elias Harris,ZAR,17.0,23.1,8.7,13.8,0.63,0.4,0.8,0.5,6.4,6.8,0.94,2.4,4.0,1.7,5.9,7.6,2.5,1.1,0.3,24.1,SF,6-8,239,31,0.0,0.0,10.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,44.0,28.0,36.0,26.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0
99,10,Emanuel Cate,MUR,34.0,16.9,5.9,10.2,0.575,0.3,0.8,0.364,3.2,3.9,0.821,2.9,5.0,4.8,6.2,11.0,1.3,0.8,0.8,15.2,PF,6-9,225,23,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,52.0,35.0,55.0,27.0,6.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
100,17,Emil Stoilov,EST,9.0,1.9,2.3,9.3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.6,11.6,4.6,6.9,11.6,2.3,0.0,2.3,4.6,C,6-11,215,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,8,Emir Sulejmanovic,CAN,34.0,12.7,5.9,10.6,0.561,1.4,3.4,0.405,1.4,2.4,0.577,1.2,6.3,2.4,7.4,9.8,1.3,1.3,0.4,14.7,PF,6-9,220,25,1.0,1.0,12.0,7.0,1.0,1.0,2.0,1.0,5.0,1.0,22.0,13.0,27.0,17.0,5.0,1.0,1.0,0.0,7.0,1.0,3.0,0.0,5.0,4.0
102,9,Eulis Baez,MAN,25.0,17.8,4.8,9.8,0.486,1.7,4.6,0.373,3.4,4.7,0.731,1.8,4.3,2.9,3.7,6.5,3.2,1.7,0.6,14.6,PF,6-7,225,38,2.0,1.0,5.0,3.0,2.0,0.0,1.0,0.0,18.0,7.0,28.0,16.0,16.0,9.0,11.0,2.0,1.0,1.0,7.0,3.0,1.0,1.0,3.0,3.0
103,5,Fabien Causeur,RMB,25.0,20.8,6.7,13.6,0.492,3.3,7.5,0.443,3.1,3.8,0.8,2.2,2.7,0.5,3.2,3.8,3.3,1.5,0.3,19.8,SG,6-3,198,33,3.0,2.0,5.0,4.0,14.0,7.0,6.0,4.0,17.0,6.0,25.0,14.0,40.0,23.0,22.0,9.0,2.0,1.0,19.0,11.0,3.0,0.0,4.0,0.0
104,19,Fabio Santana,GCN,13.0,5.0,4.9,12.9,0.381,1.2,6.1,0.2,0.6,0.6,1.0,3.1,5.5,0.6,1.2,1.8,5.5,2.5,0.6,11.6,PG,6-2,185,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
105,4,Facundo Campazzo,RMB,10.0,21.8,6.0,13.4,0.452,2.6,7.3,0.35,5.1,5.7,0.903,4.2,2.6,0.2,4.2,4.4,8.4,4.2,0.0,19.8,PG,5-11,165,29,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,8.0,18.0,12.0,13.0,6.0,15.0,4.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
107,16,Felipe Dos Anjos,BBB,26.0,9.8,4.7,8.5,0.556,0.0,0.0,0.0,1.3,1.7,0.727,4.2,7.8,4.1,8.5,12.5,1.3,1.7,2.2,10.7,C,7-2,230,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,10.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,18,Felipe Reyes,RMB,11.0,7.0,3.6,11.5,0.318,0.5,1.6,0.333,2.6,3.6,0.714,4.2,4.7,3.1,7.3,10.4,2.1,0.5,0.0,10.4,FC,6-9,265,40,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,1.0,10.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
109,11,Fernando San Emeterio,VAL,27.0,15.4,5.1,11.7,0.434,1.5,5.2,0.296,2.3,3.2,0.727,1.8,2.1,0.5,5.0,5.5,3.5,1.0,0.0,14.0,GF,6-6,232,37,1.0,1.0,2.0,2.0,2.0,1.0,6.0,2.0,17.0,4.0,32.0,22.0,23.0,7.0,18.0,3.0,2.0,1.0,7.0,4.0,4.0,3.0,2.0,0.0
110,11,Ferran Bassas,JOV,34.0,24.4,5.2,11.3,0.462,2.8,6.8,0.407,2.0,2.2,0.891,4.4,3.9,0.9,2.7,3.6,7.9,1.5,0.0,15.2,PG,6-0,188,28,3.0,1.0,12.0,5.0,7.0,4.0,4.0,2.0,45.0,20.0,39.0,22.0,35.0,21.0,37.0,14.0,4.0,1.0,12.0,5.0,3.0,2.0,3.0,2.0
111,3,Fran Guerra,CAN,33.0,14.2,8.4,11.9,0.705,0.2,0.4,0.4,4.6,6.8,0.684,2.7,5.4,2.3,5.2,7.5,3.0,1.4,0.8,21.5,C,7-0,250,28,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,35.0,41.0,30.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
112,4,Francis Alonso,UNI,34.0,17.4,5.7,12.5,0.457,3.4,8.1,0.425,3.5,4.0,0.867,2.4,3.9,1.1,1.7,2.8,1.6,1.1,0.0,18.4,G,6-3,185,24,2.0,1.0,13.0,5.0,12.0,4.0,4.0,2.0,39.0,17.0,20.0,14.0,18.0,6.0,22.0,11.0,11.0,6.0,17.0,5.0,10.0,5.0,8.0,4.0
113,10,Frankie Ferrari,GCN,12.0,19.0,5.8,15.6,0.371,2.8,7.2,0.39,1.8,2.1,0.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
114,10,Frankie Ferrari,GCN,12.0,19.0,5.8,15.6,0.371,2.8,7.2,0.39,1.8,2.1,0.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
115,10,Frankie Ferrari,GCN,12.0,19.0,5.8,15.6,0.371,2.8,7.2,0.39,1.8,2.1,0.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
116,10,Frankie Ferrari,GCN,12.0,19.0,5.8,15.6,0.371,2.8,7.2,0.39,1.8,2.1,0.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
119,3,Frankie Ferrari,MAN,11.0,20.6,8.5,21.2,0.4,3.5,10.3,0.345,2.5,2.7,0.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
121,3,Frankie Ferrari,MAN,11.0,20.6,8.5,21.2,0.4,3.5,10.3,0.345,2.5,2.7,0.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
122,3,Frankie Ferrari,MAN,11.0,20.6,8.5,21.2,0.4,3.5,10.3,0.345,2.5,2.7,0.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
123,3,Frankie Ferrari,MAN,11.0,20.6,8.5,21.2,0.4,3.5,10.3,0.345,2.5,2.7,0.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25,2.0,1.0,10.0,8.0,8.0,3.0,7.0,4.0,45.0,14.0,46.0,17.0,40.0,17.0,45.0,17.0,13.0,5.0,9.0,4.0,7.0,1.0,0.0,0.0
126,10,Gabriel Deck,RMB,21.0,23.3,5.9,11.0,0.533,1.2,3.7,0.333,4.1,4.7,0.862,2.1,2.7,1.2,5.6,6.8,2.5,1.0,0.0,17.1,F,6-6,210,26,1.0,0.0,3.0,1.0,5.0,1.0,1.0,0.0,13.0,4.0,28.0,19.0,44.0,30.0,12.0,5.0,4.0,1.0,8.0,4.0,3.0,0.0,3.0,1.0
127,9,Gal Mekel,UNI,9.0,16.5,5.9,13.2,0.449,0.0,1.4,0.0,2.7,3.8,0.714,3.8,3.8,0.3,3.0,3.2,8.9,1.4,0.3,14.6,PG,6-3,202,32,0.0,0.0,1.0,1.0,1.0,0.0,3.0,1.0,1.0,0.0,19.0,12.0,10.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
129,1,Giorgi Shermadini,CAN,34.0,23.5,10.5,15.7,0.667,0.0,0.0,0.0,8.2,9.1,0.901,3.8,3.3,3.9,5.2,9.1,3.1,1.6,0.8,29.2,C,7-1,250,31,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,127.0,76.0,112.0,71.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
131,11,Goran Huskic,BBB,21.0,14.2,6.2,11.2,0.554,0.0,0.3,0.0,2.4,3.4,0.72,3.8,5.9,2.0,5.0,7.0,4.0,1.1,0.4,14.8,C,6-9,225,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,22.0,40.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
133,11,Goran Huskic,BBB,21.0,14.2,6.2,11.2,0.554,0.0,0.3,0.0,2.4,3.4,0.72,3.8,5.9,2.0,5.0,7.0,4.0,1.1,0.4,14.8,C,6-9,225,28,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,22.0,40.0,25.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
134,16,Guillem Colom,AND,18.0,4.2,3.7,12.6,0.292,0.5,6.8,0.077,1.0,1.0,1.0,1.6,3.1,3.1,2.6,5.8,2.1,2.1,0.0,8.9,PF,6-4,192,29,1.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,2.0,2.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
136,14,Guillem Jou,MAN,23.0,19.9,3.5,9.3,0.377,1.8,6.2,0.282,1.9,2.5,0.786,1.5,1.9,2.6,5.4,8.1,1.8,1.5,0.4,10.7,SG,6-6,180,23,1.0,1.0,6.0,2.0,6.0,2.0,1.0,0.0,10.0,3.0,10.0,3.0,15.0,10.0,17.0,4.0,2.0,0.0,8.0,3.0,3.0,0.0,5.0,1.0
137,15,Guillem Vives,VAL,25.0,19.5,3.7,9.6,0.385,1.7,5.6,0.309,0.8,1.1,0.769,2.1,4.3,0.5,3.1,3.6,4.4,2.3,0.7,9.9,PG,6-3,172,27,1.0,0.0,5.0,3.0,4.0,2.0,3.0,3.0,18.0,4.0,19.0,7.0,26.0,15.0,20.0,8.0,1.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0
139,7,Haukur Palsson,AND,19.0,20.3,5.3,13.2,0.402,2.7,7.2,0.377,2.5,3.6,0.686,3.9,4.1,0.6,4.4,5.0,2.8,1.9,0.2,15.8,F,6-6,190,28,1.0,1.0,10.0,3.0,5.0,1.0,4.0,1.0,27.0,11.0,20.0,9.0,13.0,4.0,18.0,6.0,7.0,3.0,7.0,2.0,4.0,3.0,3.0,2.0
141,15,Ibrahim Magassa,BETIS,14.0,7.2,4.3,12.2,0.355,1.2,5.9,0.2,0.0,0.0,0.0,1.6,3.9,1.2,2.4,3.6,0.4,0.4,0.4,9.9,SF,6-7,220,19,1.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,0.0,6.0,5.0,3.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0
142,7,Ilimane Diop,CAJ,28.0,10.4,5.6,12.9,0.436,1.9,5.1,0.378,3.7,4.4,0.844,1.5,7.1,2.1,4.7,6.7,2.1,0.7,1.6,16.8,C,6-11,216,25,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,13.0,4.0,11.0,5.0,17.0,3.0,13.0,8.0,2.0,1.0,4.0,0.0,4.0,3.0,1.0,0.0
145,4,Isaiah Taylor,MUR,10.0,26.4,8.2,18.8,0.435,2.1,7.0,0.304,2.0,2.3,0.867,3.0,5.0,0.6,1.8,2.4,5.0,0.9,0.2,20.4,G,6-3,170,26,0.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,9.0,3.0,29.0,13.0,32.0,18.0,16.0,6.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0
147,1,J.JJ Barea,EST,18.0,22.8,7.6,21.1,0.361,2.7,8.9,0.308,4.2,5.2,0.811,4.1,4.7,0.6,2.1,2.7,8.3,1.6,0.0,22.2,G,5-10,180,36,1.0,1.0,10.0,4.0,5.0,1.0,14.0,4.0,28.0,7.0,37.0,17.0,41.0,16.0,27.0,7.0,8.0,3.0,8.0,3.0,2.0,1.0,1.0,1.0
149,3,Jaime Fernandez,UNI,25.0,22.0,6.6,15.1,0.44,2.0,5.5,0.373,4.0,5.1,0.786,3.7,4.4,0.4,2.5,3.0,7.2,1.8,0.1,19.3,PG,6-2,178,27,0.0,0.0,4.0,1.0,3.0,0.0,5.0,1.0,27.0,8.0,57.0,28.0,43.0,21.0,21.0,11.0,6.0,2.0,7.0,4.0,3.0,0.0,5.0,3.0
152,3,Jaime Fernandez,UNI,25.0,22.0,6.6,15.1,0.44,2.0,5.5,0.373,4.0,5.1,0.786,3.7,4.4,0.4,2.5,3.0,7.2,1.8,0.1,19.3,C,6-8,209,20,0.0,0.0,4.0,1.0,3.0,0.0,5.0,1.0,27.0,8.0,57.0,28.0,43.0,21.0,21.0,11.0,6.0,2.0,7.0,4.0,3.0,0.0,5.0,3.0
153,12,Jaime Pradilla,VAL,25.0,8.7,5.7,10.3,0.554,0.6,1.1,0.5,1.7,2.6,0.643,3.5,5.1,3.9,4.6,8.5,1.3,0.7,0.0,13.6,C,6-9,234,20,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,25.0,15.0,20.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
154,7,Jake Cohen,OBR,33.0,22.1,5.3,11.8,0.449,1.7,5.0,0.337,3.1,3.4,0.905,2.4,3.9,1.9,5.0,6.9,2.2,0.8,0.5,15.4,FC,6-10,235,30,2.0,1.0,7.0,2.0,6.0,2.0,3.0,1.0,33.0,11.0,56.0,30.0,50.0,29.0,29.0,10.0,0.0,0.0,5.0,1.0,5.0,0.0,2.0,2.0
155,2,Jake Wiley,ZAR,12.0,19.3,9.3,15.8,0.593,0.0,0.2,0.0,4.0,5.2,0.767,1.6,4.8,2.6,5.2,7.8,2.6,1.2,1.2,22.7,F,6-8,220,26,0.0,0.0,6.0,3.0,1.0,0.0,10.0,5.0,5.0,2.0,46.0,22.0,48.0,25.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0
156,2,Jake Wiley,ZAR,12.0,19.3,9.3,15.8,0.593,0.0,0.2,0.0,4.0,5.2,0.767,1.6,4.8,2.6,5.2,7.8,2.6,1.2,1.2,22.7,F,6-8,220,26,0.0,0.0,6.0,3.0,1.0,0.0,10.0,5.0,5.0,2.0,46.0,22.0,48.0,25.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0
157,7,Jake Wiley,GCN,11.0,22.3,7.5,14.8,0.505,0.8,2.3,0.357,1.8,2.9,0.611,3.3,3.1,1.8,5.0,6.8,1.8,1.3,1.0,17.6,F,6-8,220,26,0.0,0.0,6.0,3.0,1.0,0.0,10.0,5.0,5.0,2.0,46.0,22.0,48.0,25.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0
158,7,Jake Wiley,GCN,11.0,22.3,7.5,14.8,0.505,0.8,2.3,0.357,1.8,2.9,0.611,3.3,3.1,1.8,5.0,6.8,1.8,1.3,1.0,17.6,F,6-8,220,26,0.0,0.0,6.0,3.0,1.0,0.0,10.0,5.0,5.0,2.0,46.0,22.0,48.0,25.0,3.0,0.0,8.0,6.0,4.0,2.0,4.0,1.0,0.0,0.0
159,2,James Feldeine,BETIS,34.0,26.9,8.1,19.1,0.423,2.9,8.6,0.34,3.0,3.8,0.802,2.7,2.4,0.7,2.7,3.5,3.8,1.8,0.3,22.1,SG,6-4,190,32,1.0,0.0,14.0,4.0,22.0,9.0,16.0,4.0,76.0,28.0,73.0,37.0,94.0,52.0,69.0,18.0,16.0,8.0,14.0,7.0,12.0,5.0,2.0,1.0
160,7,James Webb III,MUR,15.0,24.9,5.8,12.4,0.466,2.4,6.0,0.393,3.1,4.1,0.763,1.6,4.5,3.3,6.9,10.2,1.6,1.5,0.3,17.0,F,6-9,202,27,1.0,0.0,3.0,2.0,9.0,4.0,2.0,0.0,14.0,4.0,18.0,8.0,21.0,12.0,15.0,6.0,1.0,1.0,5.0,2.0,2.0,0.0,3.0,1.0
161,9,Jan Span,GBC,34.0,19.9,4.8,16.4,0.291,2.2,9.8,0.229,0.5,0.8,0.643,2.6,2.7,0.6,1.5,2.2,3.5,1.3,0.0,12.3,PG,6-1,190,28,1.0,0.0,9.0,2.0,17.0,4.0,10.0,2.0,51.0,13.0,38.0,18.0,20.0,7.0,56.0,14.0,10.0,3.0,18.0,4.0,6.0,1.0,4.0,2.0
163,6,Jaroslaw Zyskowski,BBB,28.0,20.1,5.8,13.4,0.436,1.6,4.5,0.365,4.3,5.8,0.732,2.2,4.1,1.1,3.2,4.3,0.9,0.9,0.1,17.6,SF,6-7,220,28,1.0,0.0,11.0,4.0,1.0,1.0,4.0,3.0,16.0,6.0,60.0,25.0,40.0,23.0,18.0,3.0,2.0,0.0,10.0,7.0,7.0,2.0,3.0,2.0
164,3,Jasiel Rivero,SPB,31.0,23.4,7.9,13.8,0.576,0.9,3.3,0.283,4.8,7.2,0.664,3.0,4.2,3.0,6.7,9.7,1.8,0.9,0.8,21.6,C,6-9,220,27,0.0,0.0,4.0,2.0,7.0,2.0,4.0,1.0,18.0,6.0,73.0,48.0,80.0,56.0,23.0,5.0,2.0,1.0,5.0,2.0,4.0,2.0,0.0,0.0
165,7,Jason Thompson,ZAR,17.0,18.2,7.5,13.3,0.563,0.0,0.1,0.0,3.1,5.9,0.522,3.7,7.4,1.8,8.8,10.6,3.2,0.9,0.5,18.1,PF,6-11,250,34,0.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,38.0,22.0,24.0,10.0,0.0,0.0,8.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0
166,16,Javi Garcia,ZAR,24.0,8.7,3.5,9.4,0.367,1.9,5.8,0.333,1.9,2.3,0.833,1.7,7.9,0.8,2.3,3.1,3.8,0.8,0.0,10.8,SG,6-3,-,19,0.0,0.0,3.0,2.0,3.0,1.0,1.0,1.0,13.0,6.0,4.0,3.0,7.0,2.0,9.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0
168,20,Javier Beiran,GCN,28.0,23.0,4.3,8.8,0.489,1.2,3.9,0.302,0.6,0.9,0.643,1.4,1.1,1.8,6.3,8.1,3.6,0.9,0.4,10.3,SF,6-6,200,33,0.0,0.0,10.0,4.0,12.0,3.0,3.0,0.0,9.0,5.0,27.0,21.0,30.0,21.0,10.0,1.0,1.0,0.0,11.0,3.0,7.0,1.0,3.0,1.0
169,17,Javier Justiz,ZAR,12.0,7.2,4.2,12.6,0.333,0.0,0.5,0.0,1.4,1.4,1.0,4.2,5.6,1.4,5.6,7.0,1.9,0.9,1.4,9.8,C,6-9,210,28,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
