,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
68,6,Robin Benzing,ZAR,34,20.7,0.2,0.4,.390,0.1,0.2,.338,0.1,0.1,.802,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.5,SF,6-8,222,32
69,7,Jason Thompson,ZAR,17,18.2,0.2,0.3,.563,0.0,0.0,.000,0.1,0.1,.522,0.1,0.2,0.0,0.2,0.3,0.1,0.0,0.0,0.5,PF,6-11,250,34
70,8,Nicolas Brussino,ZAR,34,25.0,0.2,0.3,.500,0.1,0.2,.431,0.1,0.1,.825,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,6-8,195,27
71,9,Gustav Knudsen,ZAR,2,2.3,0.2,0.7,.333,0.0,0.0,.000,0.0,0.0,.000,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,G,6-8,-,17
72,10,Aleix Font,ZAR,8,4.6,0.2,0.4,.429,0.1,0.1,.750,0.0,0.0,1.000,0.0,0.2,0.1,0.0,0.1,0.0,0.0,0.0,0.4,SG,6-4,188,22
73,11,Tryggvi Hlinason,ZAR,34,17.7,0.2,0.2,.740,0.0,0.0,.000,0.1,0.1,.610,0.1,0.1,0.1,0.2,0.3,0.0,0.0,0.1,0.4,C,7-1,260,23
74,12,Jonathan Barreiro,ZAR,34,22.6,0.1,0.3,.466,0.1,0.1,.363,0.1,0.1,.779,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.4,SF,6-8,200,24
75,13,Rasheed Sulaimon,ZAR,26,20.2,0.1,0.3,.406,0.0,0.1,.352,0.1,0.1,.780,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,SG,6-4,194,26
76,14,Luka Rupnik,ZAR,6,13.3,0.1,0.2,.389,0.1,0.1,.500,0.1,0.2,.667,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.3,PG,6-1,157,27
77,15,T.J. Bray,ZAR,11,24.2,0.1,0.3,.419,0.1,0.2,.364,0.0,0.0,.833,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.3,G,6-5,207,28
78,16,Javi Garcia,ZAR,24,8.7,0.1,0.2,.367,0.0,0.1,.333,0.0,0.1,.833,0.0,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.3,SG,6-3,-,19
79,17,Javier Justiz,ZAR,12,7.2,0.1,0.3,.333,0.0,0.0,.000,0.0,0.0,1.000,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.2,C,6-9,210,28
80,18,Rodrigo San Miguel,ZAR,23,21.6,0.1,0.2,.405,0.0,0.1,.350,0.0,0.0,.375,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.2,PG,6-3,194,36
81,19,Jaime Fernandez,ZAR,6,3.2,0.1,0.2,.333,0.0,0.1,.000,0.1,0.2,.333,0.2,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.2,C,6-8,209,20
82,19,Jaime Fernandez,ZAR,6,3.2,0.1,0.2,.333,0.0,0.1,.000,0.1,0.2,.333,0.2,0.3,0.0,0.1,0.1,0.1,0.1,0.0,0.2,PG,6-2,178,27
83,3,Jaime Fernandez,UNI,23,22.0,0.2,0.4,.436,0.0,0.1,.353,0.1,0.1,.785,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.5,C,6-8,209,20
84,3,Jaime Fernandez,UNI,23,22.0,0.2,0.4,.436,0.0,0.1,.353,0.1,0.1,.785,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.5,PG,6-2,178,27
85,20,Vit Krejci,ZAR,2,5.9,0.0,0.2,.000,0.0,0.1,.000,0.0,0.0,.000,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,PG,6-8,195,20
86,1,Zsombor Maronka,JOV,2,3.0,0.3,0.3,1.000,0.0,0.0,.000,0.0,0.0,.000,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,PF,6-10,196,18
87,2,Ante Tomic,JOV,34,23.0,0.2,0.4,.545,0.0,0.0,.200,0.1,0.2,.750,0.1,0.1,0.1,0.2,0.3,0.1,0.0,0.0,0.6,C,7-1,225,34
88,3,Xabier Lopez-Arostegui,JOV,24,25.4,0.2,0.3,.487,0.1,0.2,.412,0.2,0.2,.969,0.1,0.1,0.0,0.2,0.2,0.0,0.0,0.0,0.5,GF,6-7,215,23
89,4,Nenad Dimitrijevic,JOV,31,20.3,0.2,0.4,.454,0.0,0.1,.273,0.1,0.1,.743,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.5,PG,6-1,174,23
90,4,Nenad Dimitrijevic,JOV,31,20.3,0.2,0.4,.454,0.0,0.1,.273,0.1,0.1,.743,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.5,PG,6-1,174,23
91,5,Vladimir Brodziansky,JOV,34,19.9,0.2,0.3,.536,0.1,0.1,.443,0.1,0.2,.778,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.5,PF,6-11,230,26
92,6,Demetrius Jackson,JOV,2,12.5,0.1,0.2,.333,0.1,0.1,.667,0.2,0.2,.833,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.4,G,6-1,200,26
93,7,Pau Ribas,JOV,28,23.7,0.1,0.3,.432,0.1,0.2,.437,0.1,0.1,.848,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.4,SG,6-3,165,33
94,8,Simon Birgander,JOV,34,14.3,0.2,0.3,.726,0.0,0.0,.000,0.1,0.1,.795,0.0,0.2,0.1,0.2,0.2,0.0,0.0,0.0,0.4,FC,6-11,208,23
95,9,Arnau Parrado,JOV,9,3.3,0.2,0.4,.455,0.0,0.1,.333,0.1,0.2,.400,0.0,0.3,0.0,0.2,0.3,0.0,0.0,0.0,0.4,C,6-9,220,20
96,10,Arturs Zagars,JOV,12,4.8,0.1,0.3,.350,0.1,0.2,.300,0.1,0.1,.833,0.1,0.3,0.0,0.1,0.1,0.2,0.0,0.0,0.4,PG,6-3,172,20
97,11,Ferran Bassas,JOV,34,24.4,0.1,0.3,.462,0.1,0.2,.407,0.0,0.1,.891,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.4,PG,6-0,188,28
98,12,Conor Morgan,JOV,31,19.0,0.1,0.3,.449,0.1,0.1,.402,0.1,0.1,.795,0.1,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.4,FC,6-9,220,26
99,13,Shawn Dawson,JOV,21,10.1,0.1,0.4,.359,0.0,0.2,.229,0.0,0.1,.615,0.1,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.3,F,6-6,205,27
100,14,Joel Parra,JOV,34,13.5,0.1,0.2,.500,0.0,0.1,.412,0.0,0.1,.815,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.3,F,6-8,210,20
101,15,Albert Ventura,JOV,32,23.8,0.1,0.2,.516,0.1,0.1,.482,0.0,0.0,.694,0.0,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.3,SG,6-5,180,28
102,16,Roger Marti,JOV,1,1.7,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PG,5-11,162,19
103,17,Yannick Kraag,JOV,2,1.2,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,F,6-7,178,18
104,18,Miguel Montesdeoca,JOV,1,2.5,0.0,0.8,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,F,6-7,-,17
105,1,Ryan Harrow,BETIS,7,14.2,0.2,0.5,.511,0.0,0.1,.333,0.1,0.1,.875,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.6,G,6-2,160,29
106,2,James Feldeine,BETIS,34,26.9,0.2,0.5,.423,0.1,0.2,.340,0.1,0.1,.802,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.6,SG,6-4,190,32
107,3,Youssoupha Ndoye,BETIS,34,21.0,0.2,0.3,.563,0.0,0.0,.000,0.2,0.3,.671,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.6,C,7-0,250,29
108,4,Dzherom Rendl,BETIS,20,16.6,0.2,0.5,.439,0.1,0.2,.333,0.1,0.1,.844,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.5,G,5-10,172,33
109,5,Yakuba Ouattara,BETIS,28,22.3,0.2,0.4,.432,0.0,0.2,.316,0.0,0.0,.833,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.4,SG,6-4,220,29
110,6,Jerome Jordan,BETIS,20,15.6,0.1,0.3,.483,0.0,0.0,.000,0.1,0.1,.714,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.4,C,7-0,253,34
111,7,T.J. Campbell,BETIS,34,23.8,0.1,0.3,.417,0.1,0.2,.345,0.1,0.1,.845,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,G,5-9,190,33
112,8,Tobias Borg,BETIS,33,17.5,0.1,0.3,.412,0.0,0.1,.357,0.1,0.1,.868,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.3,PG,6-0,162,27
113,9,Mamadou Niang,BETIS,13,13.4,0.1,0.2,.649,0.0,0.0,.000,0.0,0.1,.350,0.1,0.1,0.1,0.2,0.2,0.0,0.0,0.0,0.3,C,6-10,235,27
114,10,Nick Spires,BETIS,21,10.1,0.1,0.3,.429,0.0,0.1,.235,0.0,0.0,.700,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.3,F,6-9,215,27
115,11,Obi Enechionyia,BETIS,15,11.4,0.1,0.3,.340,0.1,0.2,.281,0.1,0.1,.786,0.1,0.2,0.1,0.1,0.2,0.0,0.1,0.1,0.3,FC,6-10,220,25
116,12,Nicholas Kay,BETIS,34,27.2,0.1,0.2,.482,0.0,0.1,.290,0.0,0.1,.830,0.0,0.1,0.1,0.1,0.2,0.0,0.0,0.0,0.3,F,6-9,230,28
117,13,Boris Tisma,BETIS,9,8.6,0.1,0.3,.308,0.0,0.1,.273,0.0,0.0,1.000,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.3,SF,6-9,153,19
118,13,Boris Tisma,BETIS,9,8.6,0.1,0.3,.308,0.0,0.1,.273,0.0,0.0,1.000,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.0,0.3,SF,6-9,153,19
119,19,Boris Tisma,RMB,1,3.3,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,6-9,153,19
120,19,Boris Tisma,RMB,1,3.3,0.0,0.0,.000,0.0,0.0,.000,0.0,0.0,.000,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SF,6-9,153,19
121,14,Mike Torres,BETIS,28,6.7,0.1,0.3,.255,0.0,0.1,.238,0.1,0.1,.913,0.1,0.2,0.0,0.1,0.1,0.1,0.0,0.0,0.3,PG,6-2,176,26
122,15,Ibrahim Magassa,BETIS,14,7.2,0.1,0.3,.355,0.0,0.1,.200,0.0,0.0,.000,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.2,SF,6-7,220,19
123,16,Pablo Almazan,BETIS,32,19.3,0.1,0.2,.298,0.0,0.1,.291,0.0,0.1,.800,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.2,SF,6-5,190,32
124,1,Earl Clark,GCN,4,13.2,0.2,0.5,.542,0.1,0.1,.714,0.0,0.1,.500,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.6,F,6-10,234,33
125,2,Sean Kilpatrick,GCN,16,20.5,0.2,0.4,.444,0.1,0.2,.393,0.1,0.2,.860,0.1,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.6,SG,6-4,212,31
126,3,A.J. Slaughter,GCN,22,24.3,0.2,0.4,.484,0.1,0.2,.402,0.1,0.1,.839,0.1,0.1,0.0,0.1,0.1,0.2,0.0,0.0,0.6,G,6-4,185,33
127,4,Matt Costello,GCN,27,23.4,0.2,0.4,.496,0.1,0.1,.376,0.1,0.1,.712,0.1,0.1,0.1,0.2,0.2,0.1,0.0,0.0,0.5,C,6-9,245,27
128,5,Ruben Lopez,GCN,2,3.1,0.2,0.2,1.000,0.0,0.0,.000,0.2,0.2,1.000,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,0.5,PF,6-7,206,18
129,6,Olek Balcerowski,GCN,28,11.6,0.2,0.3,.577,0.0,0.0,.429,0.1,0.1,.609,0.1,0.2,0.1,0.1,0.2,0.0,0.0,0.1,0.4,C,7-1,230,20
130,8,Stan Okoye,GCN,33,20.6,0.1,0.4,.410,0.1,0.2,.426,0.1,0.1,.782,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.4,GF,6-6,215,29
131,9,Oliver Stevic,GCN,23,13.5,0.2,0.2,.714,0.0,0.0,.000,0.1,0.1,.738,0.0,0.2,0.1,0.1,0.2,0.0,0.0,0.0,0.4,FC,6-10,220,37
