,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
30,1,Scott Eatherton,MAN,35,22.9,10.0,16.7,.599,1.0,2.3,.435,4.0,5.3,.755,2.4,5.6,3.8,6.5,10.3,2.7,1.1,0.6,24.9,F,6-8,234,29
31,2,Yankuba Sima,MAN,33,9.5,9.8,16.4,.597,0.0,0.1,.000,5.0,8.9,.557,3.4,7.1,3.3,6.2,9.6,2.3,1.1,0.4,24.6,C,6-11,225,24
32,3,Frankie Ferrari,MAN,11,20.6,8.5,21.2,.400,3.5,10.3,.345,2.5,2.7,.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25
33,3,Frankie Ferrari,MAN,11,20.6,8.5,21.2,.400,3.5,10.3,.345,2.5,2.7,.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25
34,3,Frankie Ferrari,MAN,11,20.6,8.5,21.2,.400,3.5,10.3,.345,2.5,2.7,.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25
35,3,Frankie Ferrari,MAN,11,20.6,8.5,21.2,.400,3.5,10.3,.345,2.5,2.7,.933,5.1,4.4,0.7,2.5,3.2,10.3,2.3,0.0,23.0,G,6-1,188,25
36,10,Frankie Ferrari,GCN,12,19.0,5.8,15.6,.371,2.8,7.2,.390,1.8,2.1,.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25
37,10,Frankie Ferrari,GCN,12,19.0,5.8,15.6,.371,2.8,7.2,.390,1.8,2.1,.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25
38,10,Frankie Ferrari,GCN,12,19.0,5.8,15.6,.371,2.8,7.2,.390,1.8,2.1,.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25
39,10,Frankie Ferrari,GCN,12,19.0,5.8,15.6,.371,2.8,7.2,.390,1.8,2.1,.833,2.8,3.5,0.5,1.9,2.5,4.6,1.9,0.0,16.2,G,6-1,188,25
40,6,Frankie Ferrari,UNI,6,16.0,5.8,13.4,.438,3.3,8.3,.400,1.7,1.7,1.000,3.8,4.2,0.4,2.9,3.3,4.6,1.7,0.0,16.7,G,6-1,188,25
41,6,Frankie Ferrari,UNI,6,16.0,5.8,13.4,.438,3.3,8.3,.400,1.7,1.7,1.000,3.8,4.2,0.4,2.9,3.3,4.6,1.7,0.0,16.7,G,6-1,188,25
42,6,Frankie Ferrari,UNI,6,16.0,5.8,13.4,.438,3.3,8.3,.400,1.7,1.7,1.000,3.8,4.2,0.4,2.9,3.3,4.6,1.7,0.0,16.7,G,6-1,188,25
43,6,Frankie Ferrari,UNI,6,16.0,5.8,13.4,.438,3.3,8.3,.400,1.7,1.7,1.000,3.8,4.2,0.4,2.9,3.3,4.6,1.7,0.0,16.7,G,6-1,188,25
44,4,Martynas Sajus,MAN,29,11.3,8.4,13.5,.627,0.0,0.0,.000,5.9,7.5,.787,3.9,6.7,5.1,6.1,11.3,1.5,0.4,0.6,22.8,C,6-8,247,25
45,5,Makai Mason,MAN,28,21.3,7.0,18.7,.373,2.7,9.1,.296,3.4,4.1,.836,3.3,4.8,0.5,1.7,2.1,4.1,1.0,0.1,20.1,G,6-1,185,25
46,6,Jonathan Tabu,MAN,22,16.0,5.1,16.1,.317,3.5,11.0,.320,4.7,5.3,.872,6.3,5.5,0.7,3.0,3.6,8.9,1.8,0.0,18.4,PG,6-0,194,35
47,7,Rafa Martinez,MAN,35,14.9,5.7,12.2,.465,3.5,7.9,.447,2.5,3.0,.821,2.5,3.8,0.5,2.8,3.4,2.6,1.4,0.1,17.4,SG,6-3,198,38
48,8,Matt Janning,MAN,14,24.4,5.6,13.8,.407,4.1,10.2,.402,1.3,1.5,.846,1.6,2.3,0.5,3.3,3.7,3.4,0.8,0.1,16.6,GF,6-4,198,32
49,9,Eulis Baez,MAN,25,17.8,4.8,9.8,.486,1.7,4.6,.373,3.4,4.7,.731,1.8,4.3,2.9,3.7,6.5,3.2,1.7,0.6,14.6,PF,6-7,225,38
50,10,Juan Vaulet,MAN,35,22.2,5.6,10.8,.519,0.7,2.3,.289,2.0,3.0,.661,1.8,4.4,2.3,4.8,7.1,1.7,1.1,0.8,13.9,F,6-6,200,24
