,PLAYER_NAME,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,POS,HEIGHT,WEIGHT,AGE,zona1_attempted,zona1_made,zona2_attempted,zona2_made,zona3_attempted,zona3_made,zona4_attempted,zona4_made,zona5_attempted,zona5_made,zona6_attempted,zona6_made,zona7_attempted,zona7_made,zona8_attempted,zona8_made,zona9_attempted,zona9_made,zona10_attempted,zona10_made,zona11_attempted,zona11_made,zona12_attempted,zona12_made,Cluster
12,Alec Peters,CAJ,32,21.8,3.5,7.4,0.471,1.4,3.7,0.387,1.8,1.9,0.919,1.2,2.0,1.0,2.9,3.9,1.2,0.5,0.3,10.2,F,2.10312,225,25,2.0,1.0,11.0,7.0,7.0,2.0,7.0,2.0,40.0,14.0,45.0,28.0,40.0,22.0,28.0,11.0,10.0,2.0,11.0,5.0,15.0,8.0,8.0,5.0,Playmakers
14,Aleksa Avramovic,EST,35,29.7,5.7,13.0,0.437,1.4,4.3,0.322,3.6,4.3,0.834,1.9,2.1,0.5,2.4,2.9,3.5,1.2,0.3,16.4,G,1.92024,190,26,2.0,2.0,10.0,3.0,12.0,4.0,17.0,4.0,46.0,11.0,93.0,48.0,115.0,55.0,41.0,13.0,12.0,4.0,10.0,4.0,7.0,4.0,9.0,3.0,Elite-Scorers
15,Aleksandar Cvetkovic,EST,27,15.2,1.4,2.9,0.494,0.8,2.0,0.415,0.6,0.7,0.895,1.3,1.9,0.3,0.9,1.1,1.7,0.6,0.0,4.3,PG,1.88976,165,27,1.0,1.0,1.0,1.0,4.0,2.0,4.0,4.0,11.0,3.0,3.0,2.0,7.0,5.0,18.0,7.0,1.0,0.0,5.0,3.0,2.0,0.0,3.0,1.0,Role-Players
16,Alessandro Gentile,EST,17,24.6,4.9,11.5,0.431,0.4,1.7,0.207,1.5,2.1,0.714,2.9,1.9,0.9,3.9,4.8,3.1,0.9,0.3,11.7,SF,2.01168,228,28,0.0,0.0,16.0,12.0,2.0,0.0,20.0,5.0,16.0,3.0,49.0,22.0,52.0,26.0,9.0,2.0,11.0,6.0,4.0,2.0,15.0,5.0,0.0,0.0,Big-Guys
17,Alex Abrines,FCB,29,20.7,2.9,5.6,0.519,1.8,3.9,0.465,1.1,1.2,0.914,0.6,2.2,0.9,2.0,2.9,0.9,0.8,0.2,8.7,GF,2.01168,190,27,1.0,0.0,6.0,3.0,5.0,3.0,6.0,3.0,39.0,15.0,17.0,11.0,10.0,4.0,27.0,12.0,3.0,1.0,13.0,6.0,6.0,4.0,4.0,3.0,Playmakers
20,Alex Renfroe,SPB,30,22.7,3.8,7.1,0.528,1.1,2.6,0.442,1.8,2.4,0.74,2.4,2.2,0.7,2.5,3.1,5.1,0.9,0.2,10.5,G,1.88976,160,34,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,31.0,13.0,57.0,38.0,56.0,29.0,33.0,16.0,4.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,Big-Guys
21,Alex Reyes,BBB,32,12.0,1.4,3.3,0.425,0.7,2.0,0.349,0.3,0.4,0.846,0.6,1.1,0.4,1.2,1.6,0.4,0.5,0.0,3.8,SF,2.04216,187,27,1.0,0.0,5.0,1.0,5.0,2.0,3.0,1.0,22.0,8.0,14.0,8.0,13.0,9.0,14.0,7.0,7.0,4.0,3.0,0.0,5.0,1.0,4.0,0.0,Role-Players
22,Alex Suarez,OBR,30,16.3,1.5,3.1,0.5,0.7,1.8,0.396,0.3,0.3,1.0,0.4,1.2,0.5,1.1,1.5,0.5,0.5,0.1,4.1,PF,1.85928,214,27,3.0,2.0,3.0,0.0,6.0,0.0,4.0,3.0,14.0,5.0,9.0,7.0,13.0,6.0,13.0,7.0,5.0,4.0,6.0,2.0,4.0,3.0,2.0,1.0,Role-Players
23,Alex Tyus,RMB,16,14.0,2.2,3.9,0.571,0.0,0.0,0.0,0.9,1.1,0.882,0.6,1.6,1.3,1.3,2.6,0.2,0.1,0.2,5.4,F,2.0726402,220,33,0.0,0.0,3.0,2.0,0.0,0.0,4.0,1.0,0.0,0.0,19.0,10.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Role-Players
25,Alvaro Munoz,OBR,32,12.4,0.9,2.6,0.354,0.7,1.9,0.35,0.5,0.6,0.889,0.6,1.0,0.5,1.2,1.6,0.9,0.3,0.0,3.0,SF,1.9812,200,30,0.0,0.0,5.0,3.0,7.0,2.0,5.0,3.0,18.0,4.0,10.0,4.0,8.0,1.0,12.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,5.0,2.0,Role-Players
26,Andrew Albicy,GCN,32,23.9,2.5,6.3,0.393,1.3,3.6,0.36,2.0,2.5,0.778,2.5,2.1,0.3,1.2,1.5,3.9,1.2,0.0,8.2,PG,1.55448,165,30,3.0,2.0,4.0,0.0,10.0,6.0,10.0,4.0,36.0,14.0,26.0,14.0,27.0,13.0,43.0,14.0,9.0,0.0,15.0,5.0,1.0,0.0,0.0,0.0,Playmakers
27,Angel Delgado,EST,33,20.9,3.5,5.5,0.65,0.0,0.0,0.0,1.2,3.1,0.396,1.4,2.7,3.1,4.6,7.7,0.7,0.9,0.4,8.3,C,1.85928,230,26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,78.0,50.0,69.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Elite-Scorers
28,Ante Tomic,JOV,34,23.0,5.2,9.6,0.545,0.0,0.1,0.2,2.6,3.5,0.75,2.1,1.6,2.4,3.8,6.1,2.1,0.6,0.1,13.1,C,2.16408,225,34,0.0,0.0,7.0,2.0,0.0,0.0,6.0,3.0,1.0,0.0,113.0,66.0,126.0,65.0,4.0,1.0,5.0,4.0,0.0,0.0,6.0,1.0,0.0,0.0,Elite-Scorers
30,Arnoldas Kulboka,BBB,30,22.5,3.1,7.1,0.435,1.9,4.5,0.43,0.9,1.1,0.794,1.0,1.1,1.0,2.7,3.8,0.5,0.5,0.2,9.0,SF,1.85928,215,23,0.0,0.0,16.0,8.0,10.0,5.0,12.0,4.0,35.0,13.0,25.0,10.0,30.0,15.0,44.0,20.0,3.0,1.0,14.0,6.0,7.0,2.0,8.0,4.0,Playmakers
31,Artem Pustovyi,FCB,21,14.5,3.0,4.8,0.634,0.0,0.0,0.0,1.7,2.4,0.706,1.3,2.0,1.4,1.8,3.2,0.4,0.4,0.8,7.8,C,2.19456,212,28,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,38.0,29.0,35.0,17.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Big-Guys
32,Artsiom Parakhouski,AND,19,14.9,2.2,4.0,0.553,0.0,0.0,0.0,1.3,1.7,0.75,1.0,1.5,1.5,2.4,3.9,0.5,0.3,0.6,5.7,C,1.862328,268,33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,29.0,13.0,27.0,14.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,Role-Players
35,Augusto Lima,MUR,33,21.3,3.1,5.6,0.549,0.0,0.1,0.0,0.5,1.8,0.295,1.7,2.8,3.0,4.1,7.2,1.9,1.0,0.9,6.7,PF,1.85928,235,29,0.0,0.0,2.0,0.0,0.0,0.0,10.0,3.0,1.0,0.0,51.0,26.0,70.0,40.0,0.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,Big-Guys
36,Axel Bouteille,UNI,30,20.4,4.1,9.3,0.437,1.5,4.2,0.368,0.9,1.1,0.844,0.4,0.6,0.3,1.7,2.0,1.0,0.5,0.2,10.6,SF,2.01168,180,25,2.0,0.0,23.0,8.0,12.0,5.0,19.0,8.0,48.0,18.0,33.0,19.0,34.0,19.0,28.0,15.0,16.0,5.0,12.0,3.0,29.0,11.0,1.0,1.0,Playmakers
37,Bandja Sy,AND,23,18.6,2.0,4.8,0.427,0.6,2.4,0.236,0.7,0.9,0.714,0.8,2.0,1.6,2.2,3.8,0.6,0.7,0.5,5.3,F,2.0726402,214,30,2.0,1.0,4.0,1.0,11.0,2.0,2.0,1.0,11.0,1.0,14.0,7.0,21.0,12.0,8.0,2.0,1.0,0.0,9.0,4.0,2.0,0.0,3.0,0.0,Role-Players
38,Beka Burjanadze,GCN,18,16.8,1.8,4.3,0.429,0.5,1.7,0.3,1.5,2.1,0.711,0.8,1.6,0.8,2.2,3.1,0.9,0.3,0.0,5.7,PF,2.0726402,260,27,0.0,0.0,5.0,2.0,3.0,1.0,2.0,0.0,10.0,3.0,10.0,6.0,15.0,11.0,4.0,1.0,5.0,1.0,5.0,1.0,6.0,1.0,2.0,0.0,Role-Players
39,Bojan Dubljevic,VAL,27,21.6,4.6,8.9,0.519,1.2,2.7,0.446,2.5,2.8,0.882,2.2,1.6,2.2,3.5,5.7,3.0,0.9,0.2,13.0,FC,2.10312,242,29,1.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,29.0,10.0,65.0,39.0,70.0,40.0,28.0,14.0,3.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,Elite-Scorers
42,Brandon Davies,FCB,25,16.8,3.4,6.2,0.555,0.0,0.2,0.25,3.0,3.6,0.831,1.5,2.4,1.4,2.4,3.8,1.3,0.6,0.4,9.9,PF,2.0726402,240,29,0.0,0.0,2.0,1.0,0.0,0.0,9.0,5.0,2.0,1.0,48.0,30.0,51.0,29.0,0.0,0.0,11.0,5.0,0.0,0.0,4.0,1.0,0.0,0.0,Big-Guys
43,Brandone Francis,GBC,15,16.2,1.7,5.7,0.302,0.7,2.5,0.27,0.7,1.0,0.733,1.5,1.9,0.3,0.7,1.1,0.4,0.7,0.1,4.9,GF,1.9812,215,25,0.0,0.0,12.0,5.0,2.0,1.0,6.0,0.0,5.0,1.0,11.0,5.0,11.0,3.0,11.0,4.0,6.0,2.0,10.0,2.0,3.0,1.0,3.0,2.0,Role-Players
44,Bruno Fitipaldo,CAN,33,23.1,3.6,8.8,0.414,1.3,4.0,0.333,2.2,2.7,0.811,2.2,2.3,0.3,1.3,1.6,4.7,1.3,0.0,10.8,PG,1.8288,183,29,1.0,0.0,8.0,4.0,11.0,3.0,12.0,5.0,41.0,19.0,52.0,34.0,50.0,20.0,43.0,13.0,16.0,4.0,9.0,1.0,6.0,1.0,2.0,1.0,Playmakers
45,Carlos Alocen,RMB,29,13.3,1.6,4.6,0.348,0.6,2.3,0.273,0.7,1.0,0.7,1.3,0.9,0.2,1.4,1.7,1.9,0.3,0.0,4.5,PG,1.9812,205,20,1.0,0.0,6.0,4.0,6.0,1.0,3.0,3.0,20.0,3.0,25.0,10.0,27.0,9.0,19.0,5.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,4.0,Role-Players
46,Carlos Suarez,UNI,12,11.1,1.0,2.2,0.444,0.8,1.8,0.429,0.8,0.8,0.9,0.5,0.7,0.6,2.0,2.6,1.2,0.3,0.2,3.5,SF,2.0726402,233,34,0.0,0.0,2.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,5.0,2.0,1.0,1.0,5.0,2.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,Role-Players
50,Chris Czerapowicz,OBR,32,21.0,2.9,5.9,0.484,1.1,2.8,0.374,0.8,1.0,0.812,0.8,2.0,1.0,2.7,3.8,1.1,0.5,0.2,7.6,G,2.04216,210,29,0.0,0.0,16.0,5.0,9.0,5.0,6.0,3.0,20.0,4.0,29.0,18.0,33.0,20.0,25.0,10.0,6.0,1.0,13.0,8.0,6.0,1.0,5.0,3.0,Playmakers
51,Christian Eyenga,MON,34,24.1,3.6,7.9,0.457,0.5,1.7,0.271,1.3,2.3,0.577,1.1,2.0,1.2,2.4,3.6,2.1,1.1,0.8,9.0,GF,2.04216,210,31,2.0,1.0,12.0,2.0,5.0,1.0,6.0,1.0,14.0,3.0,82.0,40.0,68.0,32.0,13.0,3.0,9.0,2.0,11.0,2.0,7.0,4.0,2.0,2.0,Elite-Scorers
