,#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,Pos,Height,Weight,Age
145,21,Marcis Steinbergs,GCN,2,7.3,0.0,1.0,.000,0.0,0.5,.000,1.0,1.0,1.000,0.5,0.5,0.5,0.0,0.5,0.0,0.0,0.0,1.0,PF,6-9,185,19
146,22,Jovan Kljajic,GCN,2,6.3,0.0,0.5,.000,0.0,0.5,.000,1.0,1.0,1.000,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,SG,6-6,200,19
147,22,Jovan Kljajic,GCN,2,6.3,0.0,0.5,.000,0.0,0.5,.000,1.0,1.0,1.000,1.0,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,SG,6-6,200,19
148,19,Jovan Kljajic,BBB,23,4.3,0.4,1.6,.270,0.1,0.5,.167,0.3,0.4,.800,0.3,0.6,0.1,0.5,0.7,0.2,0.3,0.0,1.3,SG,6-6,200,19
149,19,Jovan Kljajic,BBB,23,4.3,0.4,1.6,.270,0.1,0.5,.167,0.3,0.4,.800,0.3,0.6,0.1,0.5,0.7,0.2,0.3,0.0,1.3,SG,6-6,200,19
150,1,Thaddus McFadden,SPB,32,22.3,4.5,10.2,.445,2.7,6.6,.408,2.0,2.4,.855,1.7,1.6,0.2,1.3,1.5,2.2,0.9,0.1,13.8,SG,6-2,176,33
151,2,Vitor Benite,SPB,32,23.5,4.4,9.8,.454,2.5,5.4,.454,2.3,2.8,.831,1.1,2.6,0.2,1.9,2.1,1.3,0.6,0.1,13.7,SG,6-3,194,31
152,3,Jasiel Rivero,SPB,31,23.4,4.6,8.1,.576,0.5,1.9,.283,2.8,4.2,.664,1.8,2.5,1.7,3.9,5.7,1.0,0.5,0.5,12.6,C,6-9,220,27
153,4,Dejan Kravic,SPB,33,20.7,4.7,7.9,.600,0.0,0.0,.000,1.3,2.5,.530,1.6,2.2,1.9,2.7,4.6,0.7,1.0,0.7,10.8,C,7-0,240,30
154,5,Alex Renfroe,SPB,30,22.7,3.8,7.1,.528,1.1,2.6,.442,1.8,2.4,.740,2.4,2.2,0.7,2.5,3.1,5.1,0.9,0.2,10.5,G,6-2,160,34
155,6,Ken Horton,SPB,32,22.4,3.2,7.0,.458,1.5,4.0,.370,0.4,0.6,.722,0.7,1.9,0.8,3.6,4.4,1.1,1.2,0.2,8.3,F,6-6,190,31
156,7,Xavi Rabaseda,SPB,29,19.9,1.8,4.1,.433,0.7,2.2,.312,1.1,1.4,.775,0.9,1.6,0.9,2.6,3.4,0.6,1.3,0.2,5.3,GF,6-7,205,32
157,8,Omar Cook,SPB,32,22.1,1.5,4.5,.338,1.2,3.3,.346,0.7,0.9,.724,1.6,2.4,0.2,1.2,1.4,5.8,1.2,0.0,4.9,PG,6-2,190,39
158,9,Miquel Salvo,SPB,32,14.9,1.6,3.5,.446,0.6,1.7,.345,0.8,1.0,.774,0.4,1.8,0.6,1.5,2.1,0.4,0.5,0.1,4.5,F,6-9,198,26
159,10,Jordan Sakho,SPB,30,9.9,1.4,2.6,.532,0.0,0.0,.000,1.1,1.4,.744,1.0,2.9,1.1,1.4,2.5,0.4,0.5,0.3,3.8,C,6-10,220,23
160,11,Maksim Salash,SPB,18,9.4,1.3,3.1,.429,0.1,1.2,.091,0.3,0.6,.545,0.2,0.8,0.4,1.4,1.8,0.3,0.2,0.2,3.1,PF,6-9,220,24
161,12,Goran Huskic,SPB,4,6.6,1.5,1.8,.857,0.0,0.0,.000,0.0,1.0,.000,0.8,0.8,0.2,0.2,0.5,1.5,0.8,0.0,3.0,C,6-9,225,28
162,12,Goran Huskic,SPB,4,6.6,1.5,1.8,.857,0.0,0.0,.000,0.0,1.0,.000,0.8,0.8,0.2,0.2,0.5,1.5,0.8,0.0,3.0,C,6-9,225,28
163,11,Goran Huskic,BBB,21,14.2,2.2,4.0,.554,0.0,0.1,.000,0.9,1.2,.720,1.3,2.1,0.7,1.8,2.5,1.4,0.4,0.1,5.2,C,6-9,225,28
164,11,Goran Huskic,BBB,21,14.2,2.2,4.0,.554,0.0,0.1,.000,0.9,1.2,.720,1.3,2.1,0.7,1.8,2.5,1.4,0.4,0.1,5.2,C,6-9,225,28
165,13,Kareem Queeley,SPB,5,5.3,0.8,1.6,.500,0.0,0.0,.000,0.2,0.2,1.000,0.8,1.8,0.2,0.4,0.6,0.0,0.4,0.0,1.8,G,6-3,202,19
166,14,Alex Barrera,SPB,17,7.7,0.4,1.2,.286,0.3,1.2,.250,0.1,0.1,1.000,0.1,0.5,0.0,0.4,0.4,0.2,0.5,0.0,1.1,SG,6-7,180,28
167,15,Oliver Bieshaar,SPB,1,5.0,0.0,2.0,.000,0.0,1.0,.000,0.0,0.0,.000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,PF,6-8,220,19
168,16,Alberto Alonso,SPB,1,7.2,0.0,0.0,.000,0.0,0.0,.000,0.0,2.0,.000,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,F,6-7,194,19
169,17,Angel Infante,SPB,1,2.3,0.0,1.0,.000,0.0,1.0,.000,0.0,0.0,.000,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,PG,5-11,-,22
170,1,Giorgi Shermadini,CAN,34,23.5,6.2,9.3,.667,0.0,0.0,.000,4.8,5.4,.901,2.2,2.0,2.3,3.1,5.4,1.8,0.9,0.5,17.2,C,7-1,250,31
171,2,Marcelinho Huertas,CAN,33,25.7,5.5,10.6,.519,1.2,2.6,.437,2.1,2.2,.919,2.6,1.5,0.4,1.6,2.0,6.2,0.7,0.0,14.2,PG,6-3,200,37
172,3,Bruno Fitipaldo,CAN,33,23.1,3.6,8.8,.414,1.3,4.0,.333,2.2,2.7,.811,2.2,2.3,0.3,1.3,1.6,4.7,1.3,0.0,10.8,PG,6-0,183,29
173,4,Sasu Salin,CAN,32,23.7,2.8,6.8,.404,2.0,4.9,.408,1.1,1.2,.875,0.7,1.9,0.3,1.3,1.7,1.4,0.7,0.0,8.6,SG,6-3,191,29
174,5,Aaron Doornekamp,CAN,31,25.6,2.6,6.1,.431,2.0,4.6,.441,1.1,1.5,.778,0.7,2.7,0.6,2.9,3.5,1.3,0.8,0.1,8.4,PF,6-7,212,35
175,6,Tyler Cavanaugh,CAN,34,22.3,2.9,5.3,.552,1.0,2.1,.465,1.1,1.3,.844,0.8,1.8,1.1,3.3,4.4,0.9,0.5,0.1,8.0,F,6-9,240,27
176,7,Fran Guerra,CAN,33,14.2,3.0,4.2,.705,0.1,0.2,.400,1.6,2.4,.684,1.0,1.9,0.8,1.8,2.7,1.1,0.5,0.3,7.6,C,7-0,250,28
177,8,Spencer Butterfield,CAN,18,13.9,2.3,4.0,.569,1.4,2.4,.591,0.7,0.8,.857,0.8,1.5,0.4,1.7,2.1,0.4,0.7,0.0,6.7,G,6-3,205,28
178,9,Santiago Yusta,CAN,17,12.4,2.0,3.8,.531,1.0,2.1,.486,0.4,0.5,.667,0.6,0.8,0.2,1.0,1.2,0.5,0.6,0.0,5.4,SF,6-6,183,23
